noteId	participantId	createdAtMillis	timestampMillisOfFirstNonNMRStatus	firstNonNMRStatus	timestampMillisOfCurrentStatus	currentStatus	timestampMillisOfMostRecentNonNMRStatus	mostRecentNonNMRStatus
1529283490486812673	14177216A155E0923A846E17A4FCCB96	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529288840854347782	113B2B41A5F6F907615CBC913FDB6B8C	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529284698874081280	572DE227340A57DD28C9048B2637991E	0	-1		-1		-1	
1529288639947034624	572DE227340A57DD28C9048B2637991E	0	-1		-1		-1	
1529292633243275264	EB16E513D8C8A76A1B5B614A896DE7EE	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529288710612824065	B9DF8EB5E821E5ABEC37A32BC274388B	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529294614628380674	EB16E513D8C8A76A1B5B614A896DE7EE	0	1653505286808	CURRENTLY_RATED_HELPFUL	1653505286808	CURRENTLY_RATED_HELPFUL	1653505286808	CURRENTLY_RATED_HELPFUL
1529286044977246208	572DE227340A57DD28C9048B2637991E	0	-1		-1		-1	
1529323838990786560	20B7107839169D687581599118C8F08A	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529322996904644609	1F2003F9E656505CDDD213F084581EA6	0	1653509790224	CURRENTLY_RATED_NOT_HELPFUL	1653509790224	CURRENTLY_RATED_NOT_HELPFUL	1653509790224	CURRENTLY_RATED_NOT_HELPFUL
1529314073355100162	0D882EF540A8A2E7765296512D51AAE3	0	-1		-1		-1	
1529316859459289088	0D882EF540A8A2E7765296512D51AAE3	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529251847780847616	399F030EB7A317B23E340EC7BACE09D6	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529259431648559105	CD08C16BC8791D33E6EC9C8B27C91241	0	1653447386367	CURRENTLY_RATED_HELPFUL	1653447386367	CURRENTLY_RATED_HELPFUL	1653447386367	CURRENTLY_RATED_HELPFUL
1529264201578844161	306C001FB157171615E1F826F2B1DC71	0	1653497779658	CURRENTLY_RATED_HELPFUL	1653497779658	CURRENTLY_RATED_HELPFUL	1653497779658	CURRENTLY_RATED_HELPFUL
1529259065339129858	306C001FB157171615E1F826F2B1DC71	0	-1		-1	NEEDS_MORE_RATINGS	-1	
1529259281568059392	306C001FB157171615E1F826F2B1DC71	0	1653508305878	CURRENTLY_RATED_HELPFUL	1653508305878	NEEDS_MORE_RATINGS	1653508305878	CURRENTLY_RATED_HELPFUL
1529255610763599872	EE8F50AFAEB3847BACA817C043853C29	0	1654840577768	CURRENTLY_RATED_NOT_HELPFUL	1654840577768	NEEDS_MORE_RATINGS	1654840577768	CURRENTLY_RATED_NOT_HELPFUL
1529254632471646208	EE8F50AFAEB3847BACA817C043853C29	0	-1		-1		-1	
